ID,collection_date,longitude,latitude,days_death
1185,2024-10-29,3989094.00470369,2993581.75242335,268
1194,2024-10-29,4017482.08141225,2934129.89355173,268
1265,2024-10-29,4018639.33788789,2981311.99549234,268
1270,2024-10-29,4015872.42060283,2985023.08593699,268
1306,2024-10-29,4022917.91779031,2959651.12224029,268
1144,2024-10-30,4009814.80352662,2973422.25993385,269
1220,2024-10-30,3987992.15497779,2968260.45555843,269
1291,2024-10-30,4005145.62719558,2985053.34473146,269
1293,2024-10-30,4021457.59162496,2963434.93256486,269
1371,2024-10-30,3987590.7424654,2983787.07416571,269
1575,2024-10-30,4002354.98039055,2934839.99505684,269
1621,2024-10-31,4025641.25571255,2961269.00648922,270
1283,2024-11-02,4013543.19449475,2973265.60760289,272
1298,2024-11-02,4017075.89164124,2954113.6227328,272
1316,2024-11-02,4013049.63099594,2977814.07758601,272
1345,2024-11-02,3988903.55812663,2941262.43831253,272
1394,2024-11-02,4002427.78065866,2980074.93176576,272
1482,2024-11-02,4024423.85305235,2973244.93634436,272
1797,2024-11-02,3982904.50855309,2963852.2882755,272
1991,2024-11-02,4010338.36501099,2982509.64444469,272
1392,2024-11-03,4012041.84826247,2979379.72683237,273
1399,2024-11-03,3984366.44206449,2943182.17190438,273
1501,2024-11-03,4010378.35090723,2977132.3996612,273
1445,2024-11-04,3984344.13663995,2941615.58675796,274
2061,2024-11-04,4023933.61784743,2964796.17450397,274
1388,2024-11-05,4013371.59560999,2984950.23612155,275
1415,2024-11-05,3990284.15182364,2943868.07868328,275
1451,2024-11-05,3985364.13952563,2991577.17784324,275
1453,2024-11-05,3984180.75117127,2976009.89975172,275
1493,2024-11-05,3979498.33045506,2961297.52602094,275
1530,2024-11-05,3998127.55909892,2928049.31977894,275
1652,2024-11-05,4017018.45952386,2989644.76633952,275
1824,2024-11-05,4013744.65412067,2978979.94464998,275
2146,2024-11-05,4022685.63892946,2953863.98416142,275
1357,2024-11-06,3980457.6213521,2942076.26002421,276
1433,2024-11-06,3991651.38069934,2991154.45839807,276
1461,2024-11-06,3998375.1774377,2987778.75486896,276
1610,2024-11-06,4026003.65684058,2975923.08505267,276
1850,2024-11-06,4018161.24118917,2981831.55464594,276
1427,2024-11-07,3987592.19103939,2970155.09565055,277
1462,2024-11-07,4006537.81170218,2963058.10039115,277
1540,2024-11-07,4032684.78668934,2955285.61790269,277
1686,2024-11-07,4013426.61991752,2968316.21849379,277
1409,2024-11-08,3992524.2571745,2984881.13787508,278
1545,2024-11-08,3992943.01581042,2949373.8625167,278
1618,2024-11-08,4021530.23014142,2977875.16969629,278
1871,2024-11-08,3993356.97400934,2985628.04160491,278
2040,2024-11-08,3985316.62613818,2984705.15552647,278
2213,2024-11-08,3979749.208992,2968720.04962586,278
1560,2024-11-10,4013095.40432884,2981503.73672504,280
1562,2024-11-10,4013961.49578044,2973817.91280913,280
1599,2024-11-10,4025064.67842034,2952776.81298004,280
1822,2024-11-10,3978957.98260334,2963247.74510107,280
1887,2024-11-10,4018603.39027858,2986721.73562947,280
1436,2024-11-11,4020597.93940983,2927645.06408992,281
1476,2024-11-11,3982960.83849894,2985360.8425234,281
1538,2024-11-11,4014313.5116023,2978969.83686439,281
